#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Anoplophora glabripennis","Eukaryota;Animals;Insects","ALB-LARVAE","SAMN02222868","PRJNA348318","GCA_000390285.2","Scaffold",706.969,33.3997,"mitochondrion MT:NC_008221.1/","AQHT02",9867,20632,"2013-05-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/390/285/GCA_000390285.2_Agla_2.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/390/285/GCF_000390285.2_Agla_2.0"
"Orcinus orca","Eukaryota;Animals;Mammals","Morgan","SAMN01180276","PRJNA167475","GCA_000331955.2","Scaffold",2372.92,41.7,"mitochondrion MT:NC_023889.1/GU187178.1","ANOL02",1668,27870,"2012-12-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/331/955/GCA_000331955.2_Oorc_1.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/331/955/GCF_000331955.2_Oorc_1.1"
"Numida meleagris","Eukaryota;Animals;Birds","19003","SAMN05969731","PRJNA352321","GCA_002078875.2"," Chromosome",1043.26,41.8975,"chromosome 1:NC_034409.1/CM007814.2; chromosome 2:NC_034410.1/CM007815.2; chromosome 3:NC_034411.1/CM007816.2; chromosome 4:NC_034412.1/CM007817.2; chromosome 5:NC_034413.1/CM007818.2; chromosome 6:NC_034414.1/CM007819.2; chromosome 7:NC_034415.1/CM007820.2; chromosome 8:NC_034416.1/CM007821.2; chromosome 9:NC_034417.1/CM007822.2; chromosome 10:NC_034418.1/CM007823.2; chromosome 11:NC_034419.1/CM007824.2; chromosome 12:NC_034420.1/CM007825.2; chromosome 13:NC_034421.1/CM007826.2; chromosome 14:NC_034422.1/CM007827.1; chromosome 15:NC_034423.1/CM007828.1; chromosome 16:NC_034424.1/CM007829.1; chromosome 17:NC_034425.1/CM007830.2; chromosome 18:NC_034426.1/CM007831.1; chromosome 19:NC_034427.1/CM007832.2; chromosome 20:NC_034428.1/CM007833.1; chromosome 21:NC_034429.1/CM007834.2; chromosome 22:NC_034430.1/CM007835.2; chromosome 23:NC_034431.1/CM007836.1; chromosome 24:NC_034432.1/CM007837.2; chromosome 25:NC_034433.1/CM007838.2; chromosome 26:NC_034434.1/CM007839.1; chromosome 27:NC_034435.1/CM007840.2; chromosome 31:NC_034436.1/CM007841.1; chromosome 32:NC_034437.1/CM007842.2; chromosome Z:NC_034438.1/CM007843.2; linkage group LGE64:NC_034439.1/CM007844.2; mitochondrion MT:NC_034374.1/KY865420.1","MTSP01",2739,43240,"2017-04-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/078/875/GCA_002078875.2_NumMel1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/078/875/GCF_002078875.1_NumMel1.0"
"Ctenomys sociabilis","Eukaryota;Animals;Mammals","BS34","SAMN07678051","PRJNA399368","GCA_004027165.1","Scaffold",2834.81,40.7,,"PVKA01",807571,0,"2019-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/027/165/GCA_004027165.1_CteSoc_v1_BIUU",
"Halyomorpha halys","Eukaryota;Animals;Insects","HHAL.00","SAMN02737379","PRJNA298780","GCA_000696795.2","Scaffold",998.241,30.8999,"mitochondrion MT:NC_013272.1/","JMPT02",16639,25026,"2014-05-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/696/795/GCA_000696795.2_Hhal_2.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/696/795/GCF_000696795.2_Hhal_2.0"
"Falco cherrug","Eukaryota;Animals;Birds","","SAMN02981426","PRJNA217049","GCA_000337975.1","Scaffold",1174.81,41.8,,"AKMU01",5863,30267,"2013-02-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/975/GCA_000337975.1_F_cherrug_v1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/975/GCF_000337975.1_F_cherrug_v1.0"
"Centruroides sculpturatus","Eukaryota;Animals;Other Animals","CEXI.00-Female","SAMN02617800","PRJNA422877","GCA_000671375.2","Scaffold",925.475,31.4,,"AXZI02",8338,35529,"2014-05-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/671/375/GCA_000671375.2_Cexi_2.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/671/375/GCF_000671375.1_Cexi_2.0"
"Trichogramma pretiosum","Eukaryota;Animals;Insects","Unisexual culture from Peru","SAMN02439301","PRJNA297592","GCA_000599845.3","Scaffold",187.642,39.9,,"JARR02",925,21161,"2014-03-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/599/845/GCA_000599845.3_Tpre_2.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/599/845/GCF_000599845.2_Tpre_2.0"
"Latrodectus hesperus","Eukaryota;Animals;Other Animals","LHES.00","SAMN02261529","PRJNA168123","GCA_000697925.2","Scaffold",1233.81,27.9,,"JJRX02",161595,0,"2014-06-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/697/925/GCA_000697925.2_Lhes_2.0",
"Cephus cinctus","Eukaryota;Animals;Insects","","SAMN02905554","PRJNA297591","GCA_000341935.1","Scaffold",162.246,40.3973,"mitochondrion MT:NC_012688.1/","AMWH01",1976,31876,"2014-07-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/341/935/GCA_000341935.1_Ccin1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/341/935/GCF_000341935.1_Ccin1"
"Hydropotes inermis","Eukaryota;Animals;Mammals","ZZ2017","SAMN10176374","PRJNA438286","GCA_006459105.1","Scaffold",2530.18,40.7,,"SPDZ01",22246,0,"2019-06-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/459/105/GCA_006459105.1_NPU_HINE_1.0",
"Papilio machaon","Eukaryota;Animals;Insects","ya'a_city_454_Pm","SAMN03290678","PRJNA300299","GCA_001298355.1","Scaffold",278.436,34.3992,"mitochondrion MT:NC_018047.1/","LADJ01",63187,17758,"2015-09-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/298/355/GCA_001298355.1_Pap_ma_1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/298/355/GCF_001298355.1_Pap_ma_1.0"
"Mustela putorius","Eukaryota;Animals;Mammals","","SAMEA5818864","PRJEB34122","GCA_902460205.1","Scaffold",2464.26,42.5,,"CABPTA01",15013,0,"2019-08-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/460/205/GCA_902460205.1_polecat_10x_lmp_",
"Scaptomyza flava","Eukaryota;Animals;Insects","OHI-9","SAMN10180174","PRJNA494789","GCA_003952975.1","Scaffold",214.837,36.5,,"RKRM01",6479,0,"2018-12-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/952/975/GCA_003952975.1_Sfla_v1",
"Lates calcarifer","Eukaryota;Animals;Fishes","ASB-BC8","SAMN04026617","PRJNA345597","GCA_001640805.1","Scaffold",668.481,40.8001,"mitochondrion MT:NC_007439.1/","LLXD01",3808,45223,"2016-05-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/640/805/GCA_001640805.1_ASM164080v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/640/805/GCF_001640805.1_ASM164080v1"
"Takifugu flavidus","Eukaryota;Animals;Fishes","HTHZ2018","SAMN10077091","PRJNA491395","GCA_003711565.2"," Chromosome",366.287,45.623,"chromosome 1:CM011069.1; chromosome 2:CM011070.1; chromosome 3:CM011071.1; chromosome 4:CM011072.1; chromosome 5:CM011073.1; chromosome 6:CM011074.1; chromosome 7:CM011075.1; chromosome 8:CM011076.1; chromosome 9:CM011077.1; chromosome 10:CM011078.1; chromosome 11:CM011079.1; chromosome 12:CM011080.1; chromosome 13:CM011081.1; chromosome 14:CM011082.1; chromosome 15:CM011083.1; chromosome 16:CM011084.1; chromosome 17:CM011085.1; chromosome 18:CM011086.1; chromosome 19:CM011087.2; chromosome 20:CM011088.1; chromosome 21:CM011089.1; chromosome 22:CM011090.1","RHFK02",867,29408,"2018-11-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/711/565/GCA_003711565.2_ASM371156v2",
"Brachionus calyciflorus","Eukaryota;Animals;Other Animals","NED-1","SAMN07628732","PRJNA404029","GCA_002922825.1","Scaffold",129.626,24.2,,"NTPY01",1041,0,"2018-02-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/922/825/GCA_002922825.1_Bc_v0.6",
"Spodoptera litura","Eukaryota;Animals;Insects","Ishihara","SAMN05845584","PRJNA416314","GCA_002706865.1"," Chromosome",438.956,36.8924,"chromosome 1:NC_036187.1/CM008392.1; chromosome 2:NC_036188.1/CM008393.1; chromosome 3:NC_036189.1/CM008394.1; chromosome 4:NC_036190.1/CM008395.1; chromosome 5:NC_036191.1/CM008396.1; chromosome 6:NC_036192.1/CM008397.1; chromosome 7:NC_036193.1/CM008398.1; chromosome 8:NC_036194.1/CM008399.1; chromosome 9:NC_036195.1/CM008400.1; chromosome 10:NC_036196.1/CM008401.1; chromosome 11:NC_036197.1/CM008402.1; chromosome 12:NC_036198.1/CM008403.1; chromosome 13:NC_036199.1/CM008404.1; chromosome 14:NC_036200.1/CM008405.1; chromosome 15:NC_036201.1/CM008406.1; chromosome 16:NC_036202.1/CM008407.1; chromosome 17:NC_036203.1/CM008408.1; chromosome 18:NC_036204.1/CM008409.1; chromosome 19:NC_036205.1/CM008410.1; chromosome 20:NC_036206.1/CM008411.1; chromosome 21:NC_036207.1/CM008412.1; chromosome 22:NC_036208.1/CM008413.1; chromosome 23:NC_036209.1/CM008414.1; chromosome 24:NC_036210.1/CM008415.1; chromosome 25:NC_036211.1/CM008416.1; chromosome 26:NC_036212.1/CM008417.1; chromosome 27:NC_036213.1/CM008418.1; chromosome 28:NC_036214.1/CM008419.1; chromosome 29:NC_036215.1/CM008420.1; chromosome 30:NC_036216.1/CM008421.1; chromosome Z:NC_036217.1/CM008422.1; mitochondrion MT:NC_022676.1/","MTZO01",3598,24319,"2017-10-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/706/865/GCA_002706865.1_ASM270686v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/706/865/GCF_002706865.1_ASM270686v1"
"Notechis scutatus","Eukaryota;Animals;Reptiles","","SAMEA4800209","PRJEB27871","GCA_900518725.1","Scaffold",1665.53,40.2,,"ULFQ01",52414,31232,"2018-08-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/518/725/GCA_900518725.1_TS10Xv2-PRI","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/518/725/GCF_900518725.1_TS10Xv2-PRI"
"Aotus nancymaae","Eukaryota;Animals;Mammals","86115","SAMN03121886","PRJNA282745","GCA_000952055.2","Scaffold",2861.68,41.1,"mitochondrion MT:NC_018116.1/","JYKP02",28922,47568,"2015-03-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/952/055/GCA_000952055.2_Anan_2.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/952/055/GCF_000952055.2_Anan_2.0"
"Musca domestica","Eukaryota;Animals;Insects","aabys","SAMN02953849","PRJNA210139","GCA_000371365.1","Scaffold",750.404,36.1,,"AQPM01",20487,21309,"2013-04-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/371/365/GCA_000371365.1_Musca_domestica-2.0.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/371/365/GCF_000371365.1_Musca_domestica-2.0.2"
"Meloidogyne graminicola","Eukaryota;Animals;Roundworms","IARI","SAMN04041660","PRJNA411966","GCA_002778205.1","Scaffold",38.185,23.1,,"NXFT01",4304,0,"2017-11-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/778/205/GCA_002778205.1_Mgraminicola_V1",
"Vipera berus berus","Eukaryota;Animals;Reptiles","VBER.BE-female","SAMN02780930","PRJNA170536","GCA_000800605.1","Scaffold",1532.39,41.3,,"JTGP01",28883,0,"2014-12-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/800/605/GCA_000800605.1_Vber.be_1.0",
"Spodoptera exigua","Eukaryota;Animals;Insects","WH-S","SAMN13242354","PRJNA588360","GCA_011316535.1"," Chromosome",446.801,36.6771,"chromosome 1:CM022047.1; chromosome 2:CM022048.1; chromosome 3:CM022049.1; chromosome 4:CM022050.1; chromosome 5:CM022051.1; chromosome 6:CM022052.1; chromosome 7:CM022053.1; chromosome 8:CM022054.1; chromosome 9:CM022055.1; chromosome 10:CM022056.1; chromosome 11:CM022057.1; chromosome 12:CM022058.1; chromosome 13:CM022059.1; chromosome 14:CM022060.1; chromosome 15:CM022061.1; chromosome 16:CM022062.1; chromosome 17:CM022063.1; chromosome 18:CM022064.1; chromosome 19:CM022065.1; chromosome 20:CM022066.1; chromosome 21:CM022067.1; chromosome 22:CM022068.1; chromosome 23:CM022069.1; chromosome 24:CM022070.1; chromosome 25:CM022071.1; chromosome 26:CM022072.1; chromosome 27:CM022073.1; chromosome 28:CM022074.1; chromosome 29:CM022075.1; chromosome 30:CM022076.1; chromosome 31:CM022077.1; chromosome W:CM022078.1","WNNL01",301,0,"2020-03-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/316/535/GCA_011316535.1_NJAU_Sexi_v1",
"Phylloscopus trochilus acredula","Eukaryota;Animals;Birds","01L/19","SAMN04881205","PRJNA319295","GCA_002305835.1","Scaffold",1066.52,41.2,,"LXGM01",5995,0,"2016-06-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/305/835/GCA_002305835.1_ASM230583v1",
"Sebastes nigrocinctus","Eukaryota;Animals;Fishes","","SAMN02981553","PRJNA171384","GCA_000475235.3","Scaffold",746.045,40.8,,"AUPR02",15872,0,"2013-10-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/475/235/GCA_000475235.3_ASM47523v3",
"Lasius niger","Eukaryota;Animals;Insects","","SAMN03253098","PRJNA269328","GCA_001045655.1","Scaffold",236.236,37.1,,"LBMM01",36804,18247,"2015-07-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/045/655/GCA_001045655.1_ASM104565v1",
"Mesobuthus martensii","Eukaryota;Animals;Other Animals","","SAMN02953875","PRJNA171479","GCA_000484575.1","Contig",925.546,29.3,,"AYEL01",92408,0,"2013-10-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/484/575/GCA_000484575.1_M_martensii_Version_1",
"Pelodiscus sinensis","Eukaryota;Animals;Reptiles","Daiwa-1","SAMN02981371","PRJNA221645","GCA_000230535.1","Scaffold",2202.48,44.4999,"mitochondrion MT:NC_006132.1/","AGCU01",19904,38587,"2012-07-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/230/535/GCA_000230535.1_PelSin_1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/230/535/GCF_000230535.1_PelSin_1.0"
"Machilis hrabei","Eukaryota;Animals;Insects","","SAMN02645830","PRJNA171753","GCA_003456935.1","Scaffold",2144.51,41.6,,"QVQU01",200537,0,"2018-08-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/456/935/GCA_003456935.1_Mhra_1.0",
"Ephemera danica","Eukaryota;Animals;Insects","","SAMN02264621","PRJNA171755","GCA_000507165.2","Scaffold",474.347,34.4,,"AYNC02",8161,0,"2013-12-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/507/165/GCA_000507165.2_Edan_2.0",
"Orussus abietinus","Eukaryota;Animals;Insects","OABI.00-Male","SAMN02225314","PRJNA282746","GCA_000612105.2","Scaffold",186.398,45,,"AZGP02",1789,19696,"2014-04-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/612/105/GCA_000612105.2_Oabi_2.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/612/105/GCF_000612105.2_Oabi_2.0"
"Acinonyx jubatus","Eukaryota;Animals;Mammals","Rico","SAMN09699341","PRJNA504297","GCA_003709585.1","Scaffold",2384.85,41.6,"mitochondrion MT:NC_005212.1/","QURD01",3220,54179,"2018-10-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/709/585/GCA_003709585.1_Aci_jub_2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/709/585/GCF_003709585.1_Aci_jub_2"
"Myotis davidii","Eukaryota;Animals;Mammals","","SAMN01103204","PRJNA232515","GCA_000327345.1","Scaffold",2059.8,43.1,,"ALWT01",101769,33106,"2012-12-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/327/345/GCA_000327345.1_ASM32734v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/327/345/GCF_000327345.1_ASM32734v1"
"Lymnaea stagnalis","Eukaryota;Animals;Other Animals","","SAMEA3715147","PRJEB11470","GCA_900036025.1","Contig",833.229,37.4,,"FCFB01",328378,0,"2016-02-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/036/025/GCA_900036025.1_v1.0",
"Poecilia mexicana","Eukaryota;Animals;Fishes","Pme_1353_1.1","SAMN02048972","PRJNA305619","GCA_001443325.1","Scaffold",801.711,40.7,,"LMXC01",18105,47406,"2015-11-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/443/325/GCA_001443325.1_P_mexicana-1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/443/325/GCF_001443325.1_P_mexicana-1.0"
"Belgica antarctica","Eukaryota;Animals;Insects","Palmer_Station_2011","SAMN02950991","PRJNA172148","GCA_000775305.1","Scaffold",89.5837,38.8,,"JPYR01",4997,0,"2014-09-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/775/305/GCA_000775305.1_ASM77530v1",
"Sinonovacula constricta","Eukaryota;Animals;Other Animals","YC_2019","SAMN10522931","PRJNA508451","GCA_007844125.1"," Chromosome",1220.85,35.3369,"chromosome 1:CM017555.1; chromosome 2:CM017556.1; chromosome 3:CM017557.1; chromosome 4:CM017558.1; chromosome 5:CM017559.1; chromosome 6:CM017560.1; chromosome 7:CM017561.1; chromosome 8:CM017562.1; chromosome 9:CM017563.1; chromosome 10:CM017564.1; chromosome 11:CM017565.1; chromosome 12:CM017566.1; chromosome 13:CM017567.1; chromosome 14:CM017568.1; chromosome 15:CM017569.1; chromosome 16:CM017570.1; chromosome 17:CM017571.1; chromosome 18:CM017572.1; chromosome 19:CM017573.1","RXXH01",362,0,"2019-08-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/844/125/GCA_007844125.1_ASM784412v1",
"Gavialis gangeticus","Eukaryota;Animals;Other Animals","Ggan-Ray","SAMN03102901","PRJNA357062","GCA_001723915.1","Scaffold",2640.79,45.5,"mitochondrion MT:NC_008241.1/","MDVQ01",81,27294,"2016-09-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/723/915/GCA_001723915.1_GavGan_comp1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/723/915/GCF_001723915.1_GavGan_comp1"
"Thelazia callipaeda","Eukaryota;Animals;Roundworms","","SAMEA1522722","PRJEB1205","GCA_900618365.1","Scaffold",75.3921,29.6,,"UYYF01",5778,10886,"2018-11-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/618/365/GCA_900618365.1_T_callipaeda_Ticino_0011_upd",
"Frankliniella occidentalis","Eukaryota;Animals;Insects","FOCC.00","SAMN02303501","PRJNA480452","GCA_000697945.3","Scaffold",274.99,50.8985,"mitochondrion MT:NC_018370.1/","JMDY02",18479,23356,"2014-06-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/697/945/GCA_000697945.3_Focc_2.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/697/945/GCF_000697945.2_Focc_2.1"
"Elaphurus davidianus","Eukaryota;Animals;Mammals","Dafeng","SAMN03020601","PRJNA256236","GCA_002443075.1","Scaffold",2584.69,40.5,,"JRFZ01",194812,0,"2017-10-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/443/075/GCA_002443075.1_Milu1.0",
"Marmota himalayana","Eukaryota;Animals;Mammals","","SAMN07661221","PRJNA407692","GCA_005280165.1","Scaffold",2471.7,38,,"RAQP01",4363,0,"2019-05-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/280/165/GCA_005280165.1_ASM528016v1",
"Labrus bergylta","Eukaryota;Animals;Fishes","","SAMEA3939555","PRJEB13687","GCA_900080235.1","Scaffold",805.481,40.9,,"FKLU01",13466,36555,"2016-05-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/080/235/GCA_900080235.1_BallGen_V1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/080/235/GCF_900080235.1_BallGen_V1"
"Lipotes vexillifer","Eukaryota;Animals;Mammals","","SAMN02953859","PRJNA174066","GCA_000442215.1","Scaffold",2429.21,41.4,"mitochondrion MT:NC_007629.1/","AUPI01",30713,26901,"2013-07-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/442/215/GCA_000442215.1_Lipotes_vexillifer_v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/442/215/GCF_000442215.1_Lipotes_vexillifer_v1"
"Mengenilla moldrzyki","Eukaryota;Animals;Insects","","SAMN00715019","PRJNA72521","GCA_000281935.1","Contig",155.727,28.7,,"AGDA01",94953,0,"2012-07-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/281/935/GCA_000281935.1_Memo_1.0",
"Hipposideros armiger","Eukaryota;Animals;Mammals","ML-2016","SAMN03177460","PRJNA357596","GCA_001890085.1","Scaffold",2236.58,42.2,"mitochondrion MT:NC_018540.1/","JXIK01",7571,45831,"2016-12-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/890/085/GCA_001890085.1_ASM189008v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/890/085/GCF_001890085.1_ASM189008v1"
"Astatotilapia calliptera","Eukaryota;Animals;Fishes","","SAMEA104026430","PRJEB24325","GCA_900246225.3"," Chromosome",880.446,41.0816,"chromosome 1:NC_039302.1/LS420019.1; chromosome 2:NC_039303.1/LS420020.1; chromosome 3:NC_039304.1/LS420021.1; chromosome 4:NC_039305.1/LS420022.1; chromosome 5:NC_039306.1/LS420023.1; chromosome 6:NC_039307.1/LS420024.1; chromosome 7:NC_039308.1/LS420025.1; chromosome 8:NC_039309.1/LS420026.1; chromosome 9:NC_039310.1/LS420027.1; chromosome 10:NC_039311.1/LS420028.1; chromosome 11:NC_039312.1/LS420029.1; chromosome 12:NC_039313.1/LS420030.1; chromosome 13:NC_039314.1/LS420031.1; chromosome 14:NC_039315.1/LS420032.1; chromosome 15:NC_039316.1/LS420033.1; chromosome 16:NC_039317.1/LS420034.1; chromosome 17:NC_039318.1/LS420035.1; chromosome 18:NC_039319.1/LS420036.1; chromosome 19:NC_039320.1/LS420037.1; chromosome 20:NC_039321.1/LS420038.1; chromosome 22:NC_039322.1/LS420039.1; chromosome 23:NC_039323.1/LS420040.1; mitochondrion MT:NC_018560.1/","OFHY03",249,52718,"2018-01-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/246/225/GCA_900246225.3_fAstCal1.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/246/225/GCF_900246225.1_fAstCal1.2"
"Apis dorsata","Eukaryota;Animals;Insects","","SAMN02954476","PRJNA232132","GCA_000469605.1","Scaffold",230.34,32.5,,"AUPE01",4040,20012,"2013-09-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/469/605/GCA_000469605.1_Apis_dorsata_1.3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/469/605/GCF_000469605.1_Apis_dorsata_1.3"
"Glossina palpalis gambiensis","Eukaryota;Animals;Insects","146720","SAMN01796024","PRJNA172847","GCA_000818775.1","Scaffold",380.104,34.9,,"JXJN01",3926,0,"2015-01-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/818/775/GCA_000818775.1_Glossina_palpalis_gambiensis-2.0.1",
"Glossina fuscipes fuscipes","Eukaryota;Animals;Insects","","SAMN02742630","PRJNA172853","GCA_000671735.1","Scaffold",374.775,34.1,,"JFJR01",2395,0,"2014-05-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/671/735/GCA_000671735.1_Glossina_fuscipes-3.0.2",
"Lasioglossum albipes","Eukaryota;Animals;Insects","","","PRJNA174755","GCA_000346575.1","Scaffold",336.521,42.1,,"ANOB01",12599,0,"2013-03-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/346/575/GCA_000346575.1_ASM34657v1",
"Desmodus rotundus","Eukaryota;Animals;Mammals","DRU21DN04","SAMN07783852","PRJNA436375","GCA_002940915.2","Scaffold",2063.81,42.3,"mitochondrion MT:NC_022423.1/","PEHR01",29801,29845,"2018-02-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/940/915/GCA_002940915.2_ASM294091v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/940/915/GCF_002940915.1_ASM294091v2"
"Uropsilus gracilis","Eukaryota;Animals;Mammals","US010","SAMN07678046","PRJNA399362","GCA_004024945.1","Scaffold",2112.71,41.1,,"PVHY01",723835,0,"2019-01-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/024/945/GCA_004024945.1_UroGra_v1_BIUU",
"Helobdella robusta","Eukaryota;Animals;Other Animals","","SAMN02769625","PRJNA175704","GCA_000326865.1","Scaffold",235.376,34.2,,"AMQM01",1991,23426,"2012-12-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/326/865/GCA_000326865.1_Helobdella_robusta_v1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/326/865/GCF_000326865.1_Helobdella_robusta_v1.0"
